name,mean_LA(x),mean_LA(y),mean_LA(z),mean_GY(x),mean_GY(y),mean_GY(z),sd_LA(x),sd_LA(y),sd_LA(z),sd_GY(x),sd_GY(y),sd_GY(z)
alibadawixStra,0.021360877818243095,-0.49250328744912975,0.5704395804089684,0.07171356980407866,-0.30191986827069045,-0.19063550858435038,3.124306522369439,2.2096910182193814,3.6241586554580727,1.0539573935746296,1.482005002188214,0.9268131052751386
dinaelgendyxSt,0.22706398506878753,0.07731217703027611,0.5627130822530444,0.007784370075695752,-0.2608876190561364,0.020965779367219353,1.6816151551265723,3.263288864636013,2.571430689356427,0.7070398087112917,1.4985915428182677,0.4759369136816497
farahxStraight,0.10677553776610829,-0.20285249058538318,0.33610348379254945,0.009316052896307122,-0.033247468055741275,-0.14305406284309558,2.578147058825432,2.0582637660003105,2.348121360662689,0.6849035435156801,1.4121967655364513,0.9156248801933056
ghazalyStraigh,0.19904735901584872,-0.3767094574999321,-0.2778515087508671,0.07049406798058093,-0.023523788719681877,0.04279417221503443,3.0009632263876758,3.0946218588431993,3.7965131741581755,1.1623835011228303,1.3593053938076778,0.5997880768788169
habibatarabayS,0.2592286635209958,-0.11844649224767485,-0.0355995979133514,0.04411249687798831,0.08250768104265685,0.011076745921727204,1.5521873920361013,1.6671199388514928,1.584883387893122,0.5948964394567263,0.8784331688974791,0.3993751241191966
hananabilxStra,0.11882698468624489,0.03190502878264616,-0.08027810447698347,-0.016579945233461884,-0.16923368214933887,0.010179062079948458,1.7011976370885844,1.9540800381993362,1.7983883420125468,0.4748778010103506,1.3241146393087748,0.43628101548521
hashemdakroury,0.10031725957831891,-0.6382311534284714,0.779516269381471,0.06936769480543827,-0.301780951773744,-0.2061774339331991,3.9326250270147933,3.1295617468672208,3.822439513917193,1.1198480198139018,1.3123781438589557,1.1105978962377434
heidiStraightW,0.41658482567737665,-0.3743309948084695,0.5744684854557509,0.035432442326571244,-0.2121176159924455,-0.1716721112276,2.3248882672245323,2.9039034932470864,2.792156688563948,1.0153868733302909,1.3392964836867132,0.6521309656531861
hoshantStraigh,0.4004796029974558,-0.5837053640341313,-0.5653257210718553,0.1450262187329755,-0.5084378921708326,0.1054093068659181,4.004121108164631,3.9020112132781652,4.666505801123228,1.3060755088319496,1.4461626842300825,1.0815768801319459
ismail2Straigh,0.30242832063504044,-0.45469255025652827,0.8768576243874963,-0.0020752074955140516,0.04871470947859501,-0.18662809455888998,3.3878212540641552,2.740688862605814,3.6902127129687923,1.031524361383557,1.844205783726391,0.8450060127352761
janahStraightW,0.3604410755065508,-0.3039236162609976,0.2485200432127755,0.08398973869551182,-0.2467971123140839,-0.4534030622815594,0.9922472115024532,1.2418758105984098,1.7356061969352863,0.41706417006610036,0.5456556374119199,0.7517536672856566
janqhStraightW,0.09820295303763985,-0.2355601934377335,0.251349617729104,-0.045700228478342944,0.4451387465462058,-0.10501890905546868,1.9119241109722829,2.389910850453858,1.7269787072272085,0.48236837319521997,1.1826302465395482,1.1288027836693946
KarenxStraight,0.20734763656102778,-0.12353168491491284,0.306170098106419,-0.0004227484577554243,-0.04840803187286769,-0.1876533007447828,2.1680697090223533,2.152994692958177,2.1228490245531804,0.6942792433242687,1.0736996345389138,0.763616554662783
mayarahmedxStr,0.13125366269617902,-0.20776596208560788,0.48933139441025386,0.23649618604073236,-0.2685713544882906,-0.10830296421366598,1.8223001741435478,1.8208573264928178,1.8678530371267614,0.7440885955327434,1.219914311270508,0.8728188179390014
miraalmouayadS,0.23856884330974323,-0.18858374358193603,0.5222361350500377,-0.014429111048374773,-0.4156081838481536,-0.1272266264692154,1.8402544852856983,1.965744044189704,1.754135402960473,0.6232761678661672,1.2620223292200723,0.7865657506845202
moatazStraight,-0.13731814567229766,-0.6940750443019107,0.5615523982476227,0.39066521486447037,-0.256937138668054,0.10782296749470036,2.062976106992458,1.7819609852560316,1.5143226983886893,0.8179313698390603,0.7566713872215324,0.7488768974388088
MohamedDawodSt,0.21152151981015876,0.04680931790914561,0.4332995931346351,-0.05907460184644756,-0.1459532453085891,-0.056760243342903374,1.2979091185958143,2.690856802286124,1.8854148091687315,1.0783121828232487,1.0575602508462774,0.529187927657125
mohamedelshour,0.08953494162663457,-0.6347622163437786,0.43073471123005397,0.048056833391193675,0.1039591718228244,-0.10398658831062188,5.008167294407705,3.237823805867771,3.852863525629817,1.072738693535012,1.5672541427457638,1.001542715529839
moustafahabybe,0.35457130634840206,-0.41173802744223,0.5965282878453557,-0.003615556904020794,-0.2701319473482532,-0.17550580470521573,2.0895185849675904,2.667005970583021,3.203978785676322,1.214647506651773,0.9567602808083782,0.5368200391200283
nourhanStraigh,0.2741458378562259,-0.45634994326996686,0.09517710185901189,0.016049450493882282,-0.04137638226572988,-0.20017684824589554,1.3031177367737805,1.2119450599946224,2.332890445393432,0.5349078617807054,0.5060322461945012,0.8919441893410859
olabasemStraig,0.0336236889151347,-0.3506125634829914,0.2766113657187087,0.07524464106617573,0.04644758999635149,-0.06823582548806113,4.163740648781861,1.9234730680456622,1.888849063040968,0.6435840802379436,1.3057169898004681,1.2988353406350561
rollabasemStra,0.14147340612941006,0.058188298523590865,0.35155914809380634,-0.01777774841477491,-0.1015169327240179,-0.0759238633412629,1.3615335787349003,1.6013486027365773,1.4184643494318296,0.522863315079621,1.0763952823932479,0.6221659113649111
salwaStraightW,0.16188475823776352,-0.2257314202668097,0.5526502653395778,0.1765069308373382,-0.30890675672637863,-0.15728373270808207,2.3807179620857437,2.357542450502853,2.0200357079524673,0.7857725044821264,1.1804076770713097,0.7987524653951634
seifanaStraigh,-0.09408722634095334,-0.5654684558342521,-0.4919010194076921,0.08746167318992952,-0.22009507679032775,0.12163728062009037,2.843393862715505,3.40295402153162,4.322956182448186,1.421375003979038,1.4787417580028905,0.6092466486586209
seifzakariaxSt,0.21956218969449634,-0.688394524033179,0.8378338784833836,0.0836318340416898,-0.23623577578307398,-0.20801113630657947,4.879996142602642,4.6772543165799965,5.486729175904994,1.2917536617985779,1.5024410876673464,1.0555281546865483
tokhye2Straigh,0.3282955707967523,-0.6488053472134577,0.7036583586118841,0.18115785294229056,-0.40155961322438355,-0.19947271209301876,4.361346480797988,2.9286633354342944,4.5445527920504745,1.2048349275735808,1.7221935966168886,0.9966144661662917
waedhatemxStra,0.12125067377379074,-0.3078463324843099,-0.16196205963390645,0.06604608817347349,-0.01622022483543294,-0.0017665327716140059,2.065233412976091,2.00890784964863,2.05140665513293,0.8751316416165206,1.3136451137754512,0.5770623711931075
yaseenriadStra,0.21576600893899714,-0.4827714345714424,0.42174122036203604,0.1685622417143045,0.43138443149129807,-0.08594051136815808,2.5199226334094407,2.9095106195569884,4.722447662737155,1.283790088124864,1.315423270151669,0.6660010828900602
youssefemad2xS,0.19530400474633464,-0.2630714801043349,-0.2800905316398373,0.008021219198865155,0.18173176122256635,0.051776345986485756,2.4629411850732854,2.3128791732470906,3.4179758142203385,1.1119759112422902,1.2854941860881601,0.4713408588079508
youssefStraigh,-0.12593200105723554,-0.6777741000391536,-0.617272492327989,-0.233897341873851,-0.444963325056836,0.28595169273169013,3.974576355308989,3.087579501842527,5.543217318530931,1.3711978149852848,1.845354698347987,1.007360844776571
YusufStraightW,0.2009323935383249,0.23977906519158065,0.6602762796735008,0.08720194746790916,0.37878909999228594,-0.034910107019242076,2.022386033963545,3.177287984598037,3.9647350611947707,1.5192356560032427,1.804211968686419,0.5586336126741086
zoz5xStraightW,0.06731980515662425,0.04415435848700008,-0.03699804385109847,-0.15487171471234676,-0.40265165697319083,-0.09948931108375504,1.9433022592176048,1.8651419501039856,2.0118934896666207,0.8279797013168074,1.1652545168001756,0.6215404870197558
